review_id,rating,sentiment,sentiment_score,confidence
REV00000,5,positive,0.952,0.904
REV00001,1,positive,0.72,0.44
REV00002,5,positive,0.929,0.859
REV00003,5,positive,0.952,0.904
REV00004,4,positive,0.952,0.904
REV00005,4,positive,0.952,0.904
REV00006,4,positive,0.916,0.831
REV00007,2,negative,0.209,0.581
REV00008,2,negative,0.209,0.581
REV00009,3,positive,0.85,0.7
REV00010,5,positive,0.922,0.844
REV00011,4,positive,0.916,0.831
REV00012,5,positive,0.916,0.831
REV00013,5,positive,0.952,0.904
REV00014,5,positive,0.922,0.844
REV00015,5,positive,0.922,0.844
REV00016,5,positive,0.929,0.859
REV00017,5,positive,0.916,0.831
REV00018,4,positive,0.916,0.831
REV00019,5,positive,0.929,0.859
REV00020,2,positive,0.686,0.372
REV00021,2,positive,0.72,0.44
REV00022,4,positive,0.812,0.624
REV00023,5,positive,0.922,0.844
REV00024,5,positive,0.916,0.831
REV00025,4,positive,0.952,0.904
REV00026,4,positive,0.929,0.859
REV00027,4,positive,0.812,0.624
REV00028,2,positive,0.72,0.44
REV00029,4,positive,0.922,0.844
REV00030,1,positive,0.72,0.44
REV00031,3,positive,0.601,0.202
REV00032,1,negative,0.209,0.581
REV00033,4,positive,0.929,0.859
REV00034,4,positive,0.812,0.624
REV00035,2,negative,0.209,0.581
REV00036,5,positive,0.952,0.904
REV00037,5,positive,0.929,0.859
REV00038,4,positive,0.922,0.844
REV00039,4,positive,0.812,0.624
REV00040,2,negative,0.209,0.581
REV00041,4,positive,0.916,0.831
REV00042,5,positive,0.929,0.859
REV00043,4,positive,0.952,0.904
REV00044,5,positive,0.922,0.844
REV00045,4,positive,0.922,0.844
REV00046,5,positive,0.952,0.904
REV00047,5,positive,0.916,0.831
REV00048,4,positive,0.929,0.859
REV00049,4,positive,0.812,0.624
REV00050,4,positive,0.952,0.904
REV00051,3,neutral,0.5,0.0
REV00052,4,positive,0.916,0.831
REV00053,4,positive,0.952,0.904
REV00054,4,positive,0.812,0.624
REV00055,5,positive,0.922,0.844
REV00056,2,positive,0.613,0.226
REV00057,5,positive,0.952,0.904
REV00058,3,neutral,0.5,0.0
REV00059,3,positive,0.85,0.7
REV00060,5,positive,0.916,0.831
REV00061,3,positive,0.85,0.7
REV00062,5,positive,0.922,0.844
REV00063,1,negative,0.209,0.581
REV00064,5,positive,0.922,0.844
REV00065,4,positive,0.916,0.831
REV00066,3,positive,0.601,0.202
REV00067,5,positive,0.812,0.624
REV00068,4,positive,0.929,0.859
REV00069,1,negative,0.209,0.581
REV00070,1,positive,0.686,0.372
REV00071,5,positive,0.952,0.904
REV00072,3,positive,0.85,0.7
REV00073,3,positive,0.85,0.7
REV00074,5,positive,0.916,0.831
REV00075,2,positive,0.686,0.372
REV00076,4,positive,0.929,0.859
REV00077,4,positive,0.929,0.859
REV00078,2,positive,0.72,0.44
REV00079,4,positive,0.916,0.831
REV00080,5,positive,0.812,0.624
REV00081,2,positive,0.686,0.372
REV00082,5,positive,0.812,0.624
REV00083,3,positive,0.601,0.202
REV00084,5,positive,0.812,0.624
REV00085,4,positive,0.812,0.624
REV00086,4,positive,0.916,0.831
REV00087,5,positive,0.922,0.844
REV00088,5,positive,0.952,0.904
REV00089,1,positive,0.613,0.226
REV00090,4,positive,0.952,0.904
REV00091,4,positive,0.916,0.831
REV00092,4,positive,0.929,0.859
REV00093,5,positive,0.922,0.844
REV00094,3,negative,0.454,0.092
REV00095,3,positive,0.601,0.202
REV00096,5,positive,0.916,0.831
REV00097,4,positive,0.812,0.624
REV00098,5,positive,0.922,0.844
REV00099,1,positive,0.686,0.372
REV00100,4,positive,0.916,0.831
REV00101,5,positive,0.922,0.844
REV00102,3,positive,0.601,0.202
REV00103,3,positive,0.601,0.202
REV00104,4,positive,0.916,0.831
REV00105,4,positive,0.812,0.624
REV00106,5,positive,0.922,0.844
REV00107,5,positive,0.929,0.859
REV00108,5,positive,0.929,0.859
REV00109,4,positive,0.952,0.904
REV00110,5,positive,0.929,0.859
REV00111,1,positive,0.613,0.226
REV00112,5,positive,0.812,0.624
REV00113,5,positive,0.922,0.844
REV00114,2,negative,0.209,0.581
REV00115,5,positive,0.952,0.904
REV00116,3,negative,0.454,0.092
REV00117,4,positive,0.929,0.859
REV00118,3,negative,0.454,0.092
REV00119,2,positive,0.72,0.44
REV00120,5,positive,0.812,0.624
REV00121,5,positive,0.916,0.831
REV00122,5,positive,0.929,0.859
REV00123,3,positive,0.601,0.202
REV00124,5,positive,0.922,0.844
REV00125,5,positive,0.916,0.831
REV00126,3,positive,0.601,0.202
REV00127,5,positive,0.929,0.859
REV00128,4,positive,0.922,0.844
REV00129,5,positive,0.812,0.624
REV00130,3,neutral,0.5,0.0
REV00131,4,positive,0.916,0.831
REV00132,5,positive,0.929,0.859
REV00133,5,positive,0.929,0.859
REV00134,5,positive,0.916,0.831
REV00135,5,positive,0.922,0.844
REV00136,4,positive,0.952,0.904
REV00137,5,positive,0.922,0.844
REV00138,4,positive,0.952,0.904
REV00139,2,negative,0.209,0.581
REV00140,4,positive,0.812,0.624
REV00141,4,positive,0.929,0.859
REV00142,5,positive,0.916,0.831
REV00143,4,positive,0.916,0.831
REV00144,4,positive,0.929,0.859
REV00145,4,positive,0.812,0.624
REV00146,4,positive,0.952,0.904
REV00147,4,positive,0.922,0.844
REV00148,5,positive,0.922,0.844
REV00149,5,positive,0.929,0.859
REV00150,4,positive,0.922,0.844
REV00151,3,negative,0.454,0.092
REV00152,5,positive,0.929,0.859
REV00153,5,positive,0.916,0.831
REV00154,5,positive,0.952,0.904
REV00155,3,positive,0.601,0.202
REV00156,5,positive,0.952,0.904
REV00157,3,neutral,0.5,0.0
REV00158,5,positive,0.952,0.904
REV00159,5,positive,0.922,0.844
REV00160,5,positive,0.929,0.859
REV00161,3,positive,0.85,0.7
REV00162,4,positive,0.812,0.624
REV00163,4,positive,0.952,0.904
REV00164,5,positive,0.812,0.624
REV00165,5,positive,0.929,0.859
REV00166,3,negative,0.454,0.092
REV00167,4,positive,0.952,0.904
REV00168,4,positive,0.922,0.844
REV00169,5,positive,0.812,0.624
REV00170,4,positive,0.812,0.624
REV00171,2,positive,0.613,0.226
REV00172,3,negative,0.454,0.092
REV00173,5,positive,0.922,0.844
REV00174,5,positive,0.922,0.844
REV00175,4,positive,0.916,0.831
REV00176,4,positive,0.812,0.624
REV00177,5,positive,0.929,0.859
REV00178,5,positive,0.952,0.904
REV00179,5,positive,0.952,0.904
REV00180,5,positive,0.929,0.859
REV00181,5,positive,0.952,0.904
REV00182,5,positive,0.929,0.859
REV00183,5,positive,0.812,0.624
REV00184,3,negative,0.454,0.092
REV00185,5,positive,0.812,0.624
REV00186,2,positive,0.72,0.44
REV00187,4,positive,0.916,0.831
REV00188,4,positive,0.929,0.859
REV00189,4,positive,0.916,0.831
REV00190,5,positive,0.916,0.831
REV00191,3,positive,0.85,0.7
REV00192,4,positive,0.916,0.831
REV00193,5,positive,0.929,0.859
REV00194,4,positive,0.812,0.624
REV00195,3,positive,0.601,0.202
REV00196,5,positive,0.916,0.831
REV00197,5,positive,0.929,0.859
REV00198,4,positive,0.922,0.844
REV00199,3,positive,0.601,0.202
REV00200,1,positive,0.72,0.44
REV00201,3,negative,0.454,0.092
REV00202,5,positive,0.916,0.831
REV00203,2,negative,0.209,0.581
REV00204,2,positive,0.72,0.44
REV00205,5,positive,0.916,0.831
REV00206,5,positive,0.916,0.831
REV00207,5,positive,0.812,0.624
REV00208,4,positive,0.812,0.624
REV00209,4,positive,0.922,0.844
REV00210,5,positive,0.952,0.904
REV00211,3,negative,0.454,0.092
REV00212,5,positive,0.922,0.844
REV00213,5,positive,0.916,0.831
REV00214,4,positive,0.916,0.831
REV00215,5,positive,0.916,0.831
REV00216,3,positive,0.601,0.202
REV00217,4,positive,0.812,0.624
REV00218,2,positive,0.686,0.372
REV00219,5,positive,0.922,0.844
REV00220,4,positive,0.952,0.904
REV00221,5,positive,0.916,0.831
REV00222,4,positive,0.916,0.831
REV00223,5,positive,0.812,0.624
REV00224,3,neutral,0.5,0.0
REV00225,4,positive,0.812,0.624
REV00226,5,positive,0.952,0.904
REV00227,4,positive,0.812,0.624
REV00228,4,positive,0.952,0.904
REV00229,5,positive,0.916,0.831
REV00230,5,positive,0.952,0.904
REV00231,2,positive,0.72,0.44
REV00232,5,positive,0.952,0.904
REV00233,2,positive,0.686,0.372
REV00234,1,positive,0.72,0.44
REV00235,5,positive,0.916,0.831
REV00236,1,negative,0.209,0.581
REV00237,5,positive,0.916,0.831
REV00238,4,positive,0.916,0.831
REV00239,3,positive,0.601,0.202
REV00240,5,positive,0.922,0.844
REV00241,3,neutral,0.5,0.0
REV00242,4,positive,0.922,0.844
REV00243,4,positive,0.916,0.831
REV00244,5,positive,0.812,0.624
REV00245,5,positive,0.952,0.904
REV00246,4,positive,0.952,0.904
REV00247,5,positive,0.812,0.624
REV00248,4,positive,0.952,0.904
REV00249,4,positive,0.952,0.904
REV00250,5,positive,0.916,0.831
REV00251,5,positive,0.812,0.624
REV00252,5,positive,0.929,0.859
REV00253,4,positive,0.916,0.831
REV00254,2,positive,0.686,0.372
REV00255,4,positive,0.922,0.844
REV00256,5,positive,0.952,0.904
REV00257,5,positive,0.929,0.859
REV00258,3,positive,0.601,0.202
REV00259,5,positive,0.922,0.844
REV00260,4,positive,0.952,0.904
REV00261,4,positive,0.922,0.844
REV00262,5,positive,0.916,0.831
REV00263,3,neutral,0.5,0.0
REV00264,5,positive,0.929,0.859
REV00265,3,positive,0.601,0.202
REV00266,5,positive,0.952,0.904
REV00267,5,positive,0.922,0.844
REV00268,5,positive,0.952,0.904
REV00269,3,positive,0.85,0.7
REV00270,4,positive,0.922,0.844
REV00271,3,negative,0.454,0.092
REV00272,5,positive,0.929,0.859
REV00273,5,positive,0.916,0.831
REV00274,5,positive,0.922,0.844
REV00275,4,positive,0.916,0.831
REV00276,3,negative,0.454,0.092
REV00277,5,positive,0.929,0.859
REV00278,5,positive,0.929,0.859
REV00279,5,positive,0.812,0.624
REV00280,4,positive,0.922,0.844
REV00281,4,positive,0.916,0.831
REV00282,5,positive,0.916,0.831
REV00283,4,positive,0.922,0.844
REV00284,5,positive,0.929,0.859
REV00285,4,positive,0.922,0.844
REV00286,4,positive,0.952,0.904
REV00287,5,positive,0.929,0.859
REV00288,5,positive,0.922,0.844
REV00289,5,positive,0.916,0.831
REV00290,2,positive,0.686,0.372
REV00291,5,positive,0.812,0.624
REV00292,5,positive,0.922,0.844
REV00293,2,positive,0.613,0.226
REV00294,3,neutral,0.5,0.0
REV00295,5,positive,0.922,0.844
REV00296,5,positive,0.929,0.859
REV00297,3,positive,0.601,0.202
REV00298,3,positive,0.85,0.7
REV00299,5,positive,0.916,0.831
REV00300,5,positive,0.812,0.624
REV00301,5,positive,0.812,0.624
REV00302,4,positive,0.952,0.904
REV00303,5,positive,0.922,0.844
REV00304,2,negative,0.209,0.581
REV00305,4,positive,0.952,0.904
REV00306,4,positive,0.922,0.844
REV00307,5,positive,0.952,0.904
REV00308,5,positive,0.812,0.624
REV00309,5,positive,0.952,0.904
REV00310,5,positive,0.812,0.624
REV00311,5,positive,0.812,0.624
REV00312,4,positive,0.952,0.904
REV00313,5,positive,0.922,0.844
REV00314,5,positive,0.922,0.844
REV00315,5,positive,0.952,0.904
REV00316,5,positive,0.929,0.859
REV00317,4,positive,0.922,0.844
REV00318,3,positive,0.85,0.7
REV00319,5,positive,0.929,0.859
REV00320,4,positive,0.922,0.844
REV00321,4,positive,0.929,0.859
REV00322,5,positive,0.952,0.904
REV00323,3,positive,0.85,0.7
REV00324,2,positive,0.613,0.226
REV00325,4,positive,0.916,0.831
REV00326,4,positive,0.812,0.624
REV00327,4,positive,0.922,0.844
REV00328,5,positive,0.929,0.859
REV00329,1,positive,0.613,0.226
REV00330,5,positive,0.929,0.859
REV00331,5,positive,0.812,0.624
REV00332,5,positive,0.929,0.859
REV00333,3,positive,0.601,0.202
REV00334,3,positive,0.85,0.7
REV00335,4,positive,0.812,0.624
REV00336,3,neutral,0.5,0.0
REV00337,5,positive,0.952,0.904
REV00338,4,positive,0.916,0.831
REV00339,2,positive,0.686,0.372
REV00340,5,positive,0.916,0.831
REV00341,4,positive,0.916,0.831
REV00342,3,positive,0.85,0.7
REV00343,1,positive,0.686,0.372
REV00344,3,positive,0.601,0.202
REV00345,4,positive,0.952,0.904
REV00346,2,positive,0.613,0.226
REV00347,2,positive,0.72,0.44
REV00348,4,positive,0.916,0.831
REV00349,2,positive,0.686,0.372
REV00350,4,positive,0.916,0.831
REV00351,5,positive,0.952,0.904
REV00352,2,positive,0.72,0.44
REV00353,5,positive,0.922,0.844
REV00354,4,positive,0.929,0.859
REV00355,5,positive,0.952,0.904
REV00356,4,positive,0.952,0.904
REV00357,5,positive,0.812,0.624
REV00358,2,positive,0.613,0.226
REV00359,5,positive,0.952,0.904
REV00360,2,negative,0.209,0.581
REV00361,5,positive,0.922,0.844
REV00362,5,positive,0.929,0.859
REV00363,1,positive,0.613,0.226
REV00364,3,negative,0.454,0.092
REV00365,5,positive,0.952,0.904
REV00366,4,positive,0.952,0.904
REV00367,3,positive,0.85,0.7
REV00368,5,positive,0.922,0.844
REV00369,3,positive,0.85,0.7
REV00370,5,positive,0.929,0.859
REV00371,5,positive,0.812,0.624
REV00372,2,negative,0.209,0.581
REV00373,4,positive,0.952,0.904
REV00374,5,positive,0.952,0.904
REV00375,2,negative,0.209,0.581
REV00376,4,positive,0.812,0.624
REV00377,3,positive,0.85,0.7
REV00378,4,positive,0.952,0.904
REV00379,3,neutral,0.5,0.0
REV00380,5,positive,0.929,0.859
REV00381,4,positive,0.916,0.831
REV00382,5,positive,0.929,0.859
REV00383,4,positive,0.952,0.904
REV00384,4,positive,0.922,0.844
REV00385,3,negative,0.454,0.092
REV00386,5,positive,0.812,0.624
REV00387,4,positive,0.922,0.844
REV00388,3,neutral,0.5,0.0
REV00389,4,positive,0.812,0.624
REV00390,5,positive,0.952,0.904
REV00391,3,positive,0.601,0.202
REV00392,5,positive,0.916,0.831
REV00393,3,positive,0.601,0.202
REV00394,5,positive,0.916,0.831
REV00395,5,positive,0.922,0.844
REV00396,3,neutral,0.5,0.0
REV00397,4,positive,0.916,0.831
REV00398,3,positive,0.601,0.202
REV00399,5,positive,0.922,0.844
